workerid,trial_type,justification,response,condition,language,enjoyment,gender,age,comments,asses,selfreport,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.justification,Answer.time_in_minutes
0,one_slider_practice,Why did he need two cars? He is selfish and materialistic. ,0.12,NA,english,1,Male,26,,Yes,how accurate you can describe events.,3,Windows,783,1252,Mozilla,3CO05SML7V5C6CPDDVDGITBJKADR0K,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:51 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:51 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3CO05SML7V5C6CPDDVDGITBJKADR0K,3TVSS0C0E10LH11K0TGXENGQKL0TW3,0,Submitted,Sat Nov 25 05:44:15 PST 2017,Fri Nov 24 12:55:16 PST 2017,Fri Nov 24 13:04:15 PST 2017,,,,,,[],"""cond1""",undefined,8.9154
0,one_slider_practice,"The dogs jumped on the table, but was rejected",0.46,NA,english,1,Male,26,,Yes,how accurate you can describe events.,3,Windows,783,1252,Mozilla,3CO05SML7V5C6CPDDVDGITBJKADR0K,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:51 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:51 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3CO05SML7V5C6CPDDVDGITBJKADR0K,3TVSS0C0E10LH11K0TGXENGQKL0TW3,0,Submitted,Sat Nov 25 05:44:15 PST 2017,Fri Nov 24 12:55:16 PST 2017,Fri Nov 24 13:04:15 PST 2017,,,,,,[],"""cond1""",undefined,8.9154
0,one_slider,"The fence was easy to jump over, but the rock was harder",0.83,cond2,english,1,Male,26,,Yes,how accurate you can describe events.,3,Windows,783,1252,Mozilla,3CO05SML7V5C6CPDDVDGITBJKADR0K,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:51 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:51 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3CO05SML7V5C6CPDDVDGITBJKADR0K,3TVSS0C0E10LH11K0TGXENGQKL0TW3,0,Submitted,Sat Nov 25 05:44:15 PST 2017,Fri Nov 24 12:55:16 PST 2017,Fri Nov 24 13:04:15 PST 2017,,,,,,[],"""cond1""",undefined,8.9154
0,one_slider,there was only TWO hippos. ,0.15,cond1,english,1,Male,26,,Yes,how accurate you can describe events.,3,Windows,783,1252,Mozilla,3CO05SML7V5C6CPDDVDGITBJKADR0K,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:51 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:51 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3CO05SML7V5C6CPDDVDGITBJKADR0K,3TVSS0C0E10LH11K0TGXENGQKL0TW3,0,Submitted,Sat Nov 25 05:44:15 PST 2017,Fri Nov 24 12:55:16 PST 2017,Fri Nov 24 13:04:15 PST 2017,,,,,,[],"""cond1""",undefined,8.9154
0,one_slider,only one butterfly went to the city,0.88,cond2,english,1,Male,26,,Yes,how accurate you can describe events.,3,Windows,783,1252,Mozilla,3CO05SML7V5C6CPDDVDGITBJKADR0K,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:51 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:51 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3CO05SML7V5C6CPDDVDGITBJKADR0K,3TVSS0C0E10LH11K0TGXENGQKL0TW3,0,Submitted,Sat Nov 25 05:44:15 PST 2017,Fri Nov 24 12:55:16 PST 2017,Fri Nov 24 13:04:15 PST 2017,,,,,,[],"""cond1""",undefined,8.9154
0,one_slider,"the ball rolled itself. only one ball moved. the dogs did not move, so they could not have hit the ball",0.96,cond2,english,1,Male,26,,Yes,how accurate you can describe events.,3,Windows,783,1252,Mozilla,3CO05SML7V5C6CPDDVDGITBJKADR0K,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:51 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:51 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3CO05SML7V5C6CPDDVDGITBJKADR0K,3TVSS0C0E10LH11K0TGXENGQKL0TW3,0,Submitted,Sat Nov 25 05:44:15 PST 2017,Fri Nov 24 12:55:16 PST 2017,Fri Nov 24 13:04:15 PST 2017,,,,,,[],"""cond1""",undefined,8.9154
0,one_slider,"4 lions bought an egg, but only two did not buy a cookie",0.37,cond4,english,1,Male,26,,Yes,how accurate you can describe events.,3,Windows,783,1252,Mozilla,3CO05SML7V5C6CPDDVDGITBJKADR0K,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:51 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:51 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3CO05SML7V5C6CPDDVDGITBJKADR0K,3TVSS0C0E10LH11K0TGXENGQKL0TW3,0,Submitted,Sat Nov 25 05:44:15 PST 2017,Fri Nov 24 12:55:16 PST 2017,Fri Nov 24 13:04:15 PST 2017,,,,,,[],"""cond1""",undefined,8.9154
0,one_slider,only 2 lizards climbed on the book ,0.01,cond3,english,1,Male,26,,Yes,how accurate you can describe events.,3,Windows,783,1252,Mozilla,3CO05SML7V5C6CPDDVDGITBJKADR0K,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:51 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:51 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3CO05SML7V5C6CPDDVDGITBJKADR0K,3TVSS0C0E10LH11K0TGXENGQKL0TW3,0,Submitted,Sat Nov 25 05:44:15 PST 2017,Fri Nov 24 12:55:16 PST 2017,Fri Nov 24 13:04:15 PST 2017,,,,,,[],"""cond1""",undefined,8.9154
0,one_slider,"one dinosaur ate the bug, but the other did not",0.94,cond1,english,1,Male,26,,Yes,how accurate you can describe events.,3,Windows,783,1252,Mozilla,3CO05SML7V5C6CPDDVDGITBJKADR0K,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:51 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:51 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3CO05SML7V5C6CPDDVDGITBJKADR0K,3TVSS0C0E10LH11K0TGXENGQKL0TW3,0,Submitted,Sat Nov 25 05:44:15 PST 2017,Fri Nov 24 12:55:16 PST 2017,Fri Nov 24 13:04:15 PST 2017,,,,,,[],"""cond1""",undefined,8.9154
1,one_slider_practice,he spent 4 cents and two cars at two cents each which equals four cents,1,NA,english,2,Female,35,no comments thanks for asking though ;),Yes,about how people responded?,1,Windows,600,800,Firefox,3CO05SML7V5C6CPDDVDGITBJKADR0K,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:51 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:51 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3CO05SML7V5C6CPDDVDGITBJKADR0K,3QRYMNZ7FYHVU7S68SPAI43ZR9WTNC,1,Submitted,Sat Nov 25 05:44:32 PST 2017,Fri Nov 24 12:54:17 PST 2017,Fri Nov 24 13:04:32 PST 2017,,,,,,[],"""cond1""",undefined,9.20465
