adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
cute,22,value,0.787272727272727,sub,-0.0059040223069581673,1.0924293500206533e-06,0.0049248968230592629,0.01082891913001743,"[0.9782608695652174, 0.8134596537079386, 0.76968311009474033]",4,"cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,","little cute ,little cute ,little cute ,little cute ,cute little ,"
naughty,3,human,0.723,lexical,0.55762463216386937,0.015625,0.65600068139687617,0.098376049233006774,"[0.875, 0.19006131010003227, 0.68635043562439502]",4,"naughty little ,naughty little ,naughty little ,","little naughty ,little naughty ,"
old,34,age,0.646666666666667,lexical,0.12943391767863641,0.0046964216710587564,0.12956653653188874,0.0001326188532523243,"[0.1, 0.22160026341784655, 0.62133684557128743]",4,"big old ,mean old ,mean old ,big old ,mean old ,mean old ,mean old ,wise old ,wise old ,wise old ,mean old ,mean old ,wise old ,royal old ,nasty old ,fun old ,fun old ,big old ,big old ,little old ,wicked old ,little old ,fun old ,poor old ,poor old ,dirty old ,old narrow ,old narrow ,dirty old ,dirty old ,poor old ,big old ,grand old ,old grey ,","big old ,little old ,little old ,big old ,mean old ,big old ,big old ,old grey ,old grey ,old grey ,old grey ,old grey ,good old ,little old ,stupid old ,dirty old ,dirty old ,dirty old ,dirty old ,big old ,big old ,plain old ,wicked old ,big old ,big old ,old fat ,big old ,old grey ,old grey ,"
fun,21,value,0.872857142857143,input,0.023615405252351597,0.087293388429752039,0.034873702950841114,0.011258297698489518,"[0.7045454545454546, 0.8132549787789749, 0.89389487430623571]",4,"super fun ,super fun ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun old ,fun old ,fun old ,fun little ,fun little ,fun little ,little fun ,pretty fun ,big fun ,big fun ,","mad fun ,mad fun ,"
just,13,value,0.60125,lexical,0.38075577867775678,0.15374453352769679,0.53465016066813809,0.15389438199038133,"[0.5357142857142857, 0.81162715167262101, 0.53588827541409545]",4,"alright just ,blue just ,just young ,okay just ,just young ,just young ,just young ,just young ,just young ,okay just ,okay just ,okay just ,just young ,","just dead ,just back ,just plain ,"
sweet,6,physical,0.724666666666667,lexical,0.19238778701557138,1.8593443208187024e-06,0.19525324098158142,0.002865453966010045,"[0.9285714285714286, 0.27869382476559973, 0.68994503718073064]",4,"sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,","little sweet ,nice sweet ,nice sweet ,nice sweet ,nice sweet ,"
back,3,location,0.297142857142857,sub,-0.15110618096273276,0.244140625,0.57234069944509558,0.72344688040782834,"[0.375, 0.16973217166828009, 0.10229106163278477]",4,"little back ,huge back ,back next ,","just back ,small back ,little back ,"
yellow,10,color,0.343333333333333,input,-0.21453959694755109,0.42853117956423731,0.19848675552290113,0.41302635247045222,"[0.4090909090909091, 0.077795786061588337, 0.23565640194489465]",4,"yellow green ,yellow green ,big yellow ,plain yellow ,yellow green ,yellow green ,bright yellow ,big yellow ,little yellow ,big yellow ,","little yellow ,red yellow ,yellow green ,"
bright,3,color,0.464,lexical,0.3789649535636983,0.390625,0.84694632885458576,0.46798137529088746,"[0.375, 0.079703130041949011, 0.3159083575346886]",4,"big bright ,big bright ,bright yellow ,","nice bright ,nice bright ,"
tiny,41,dimension,0.414444444444444,sub,-0.13951529537450255,0.041009656833852569,0.00456761166443797,0.14408290703894053,"[0.36904761904761907, 0.4836255375454846, 0.26926893814091962]",4,"little tiny ,little tiny ,little tiny ,tiny little ,tiny little ,little tiny ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,little tiny ,little tiny ,teeny tiny ,little tiny ,little tiny ,tiny little ,teeny tiny ,little tiny ,little tiny ,tiny little ,tiny little ,teeny tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny silver ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,","little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,tiny black ,little tiny ,tiny black ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,"
